chikanobu2	25	#141114	#d02f14	#d19f77	#626481	#f0d9c4	#a26e48	#434078	#c39a6c	#862a27	#c36a5a	#f3b897	#182152	#614f32	#c9c285	#d89d37	#ed7d17	#a685a7	#688d86	#3c1b23	#856993	#dad2bc	#736e3b	#bea4a3	#062262	#2c79a6
chikanobu2	25	#1e0e19	#795a9e	#446727	#cb1c16	#dcdcb6	#443f85	#8b776d	#f0c397	#7f352d	#b0aa99	#a47dba	#37342f	#906e4d	#2c85a6	#634a41	#de814c	#ae6f41	#122d47	#3c191a	#bc1611	#c9aca6	#c75c5f	#b13e22	#e4e0d1	#f6f3ec
chikanobu2	25	#d31a14	#e4ad70	#ecddcf	#1f0c14	#af87ab	#e37549	#413d7c	#717239	#ef8527	#e45328	#e7b11c	#8b914e	#6c848c	#cea12b	#af732f	#a7965b	#dad6b7	#515a55	#121f50	#c04736	#cec094	#0c255a	#5e4a32	#bdb090	#f3bc99
chikanobu2	25	#0b1509	#c81706	#e8dfe7	#e9ac76	#7c5d9f	#132668	#b4101a	#414b76	#e95f23	#a26b30	#f3c795	#162d47	#edceb7	#d1ca89	#837c63	#769490	#ec8d1b	#a87bb7	#ec8347	#c45d5c	#b3b49c	#687531	#c3a4ba	#386b1a	#464c63
chikanobu2	25	#ecb594	#1a170b	#806c81	#e0e7cc	#c33413	#201e4d	#243031	#926c80	#e25226	#f08527	#a9a765	#8a9946	#a7c9d0	#873a1f	#da864a	#c96f5f	#3e4e84	#b6372f	#bd8c76	#5e4544	#ddac75	#d1c88c	#bfac93	#3686ad	#15265d
homer1	25	#9e6746	#9c8984	#341621	#cf7a3c	#d0a05b	#b86f4b	#6c8aaa	#6c3934	#9c5c3b	#993e31	#c98763	#8b8799	#a65f3f	#eaa561	#ecbf92	#905241	#bba8b3	#edd58f	#493430	#160407	#9d6c47	#b88859	#dc8a4c	#8d8568	#b2a17e
homer1	25	#6c8cb4	#9a3032	#a99870	#21190d	#e08f42	#a77963	#bb8067	#ac513a	#beaca5	#ba9f5f	#712228	#c06745	#916a53	#ab7045	#8f5752	#bf824d	#89958e	#47322c	#b3472e	#531d22	#9a734a	#140705	#884735	#de9165	#9e9e92
homer1	25	#edbd61	#cd633e	#7d222b	#768eb0	#b36147	#8e6858	#2f181e	#b88845	#8a633d	#dca773	#ac8f58	#eece93	#ebc5a5	#ca7c51	#615049	#996c52	#9c9b8b	#7b8b88	#7e3a3a	#ee9c53	#d47049	#80877b	#e27f4e	#c6806d	#6e3633
homer1	25	#7798b1	#3b1920	#face8c	#c55f40	#a64b3c	#808a67	#b4482c	#c36f45	#cd7b5d	#898f97	#9c7951	#eca451	#9c7b6d	#8d5f44	#baa6b2	#835b4e	#8b3c31	#6e2526	#200a15	#dc7d4a	#b4824c	#481f14	#c97148	#121010	#90794e
homer1	25	#ca6b3a	#909379	#da9166	#2e1b10	#a2664a	#848067	#807758	#a69f96	#a4684f	#501913	#899594	#cc9a68	#60202b	#cd6040	#8d5d3e	#6b483c	#a48467	#f1ad59	#a24b40	#83655a	#8b3734	#718fb2	#834231	#65412b	#cd763a
macke1	25	#ddeec5	#9d9a5f	#ebc940	#796443	#6e6d68	#67502e	#8aae77	#8a602e	#5c3c34	#a74e41	#d69c54	#afcc7f	#d3c09a	#686738	#bba362	#606d62	#656e93	#b0bf46	#886266	#90becb	#d5ae48	#b7a599	#f1cf77	#818440	#8ca84b
macke1	25	#f2f542	#6b7094	#ce533e	#6c5f36	#eaeaab	#8fab73	#967f33	#c69d52	#5e3e34	#e3c669	#774d38	#8ea84c	#f3f270	#d6c695	#86888c	#ffb433	#a2cc7d	#876564	#7a4837	#474347	#cda344	#9d3f42	#90b3c8	#ba9c9f	#a1966b
macke1	25	#835a62	#e6e8cd	#4a3b6d	#ebdc49	#ed8139	#907e87	#8ca56c	#b0a787	#6d6166	#f6f5a6	#b6c03d	#b29d59	#f7bd2b	#5a5f40	#d4ad3d	#748556	#a6c680	#b4a9a4	#726633	#f9a935	#728e46	#dccd8f	#e0c569	#c9964c	#8a6c3c
macke1	25	#e0eac5	#775761	#97a64b	#f1893c	#ebd53a	#738440	#8d5348	#80a776	#f3be36	#c79948	#a8c376	#c5a63d	#6a5c28	#917b33	#b3c839	#635f6f	#6a798e	#84867b	#a54843	#c54937	#47425e	#eac863	#a5a085	#473f44	#f4a739
macke1	25	#ede6c8	#736b77	#76664b	#aa9c55	#f8da3b	#6d8d4c	#eae16e	#787a5f	#dbc6a2	#464941	#b3c978	#edf344	#9a7883	#e58435	#666360	#505c46	#f3f5ab	#d7e3cb	#594c45	#838f84	#9d5142	#919a6e	#b6a598	#946037	#f9a930
monet1	25	#698468	#b5b4b5	#7e7a83	#615866	#6a5c45	#7a8aa3	#788983	#5d8665	#473365	#685d5e	#79939a	#716a48	#64624d	#576d6a	#5d5e7c	#9495a6	#a7a6ab	#b8acb6	#673f3f	#4b323d	#81805c	#9db09a	#56698c	#989483	#706f5f
monet1	25	#a5a8b3	#5a7e4a	#5c5675	#693c46	#5d756f	#bbb2c0	#463a52	#64563f	#75694a	#595c5f	#4f4a51	#7992a2	#6b4c53	#634445	#7e818a	#97887d	#8a8b67	#8e9098	#aaa699	#424466	#686a79	#4c373d	#6d5449	#524e66	#6b8c62
monet1	25	#637e50	#532f3b	#808694	#a3a2ae	#403468	#7a9c8a	#6e7459	#527c5d	#464851	#668c45	#4c334d	#586e7c	#6e9367	#7d7952	#787085	#5d5076	#567667	#644b51	#67483b	#97a7b6	#b5b4c9	#646253	#769977	#746b52	#bcc4ba
monet1	25	#97a5b2	#5d5f7b	#67754b	#6b9f87	#6d3838	#7b5151	#66575a	#725c6d	#aaaea8	#896a76	#658768	#788673	#8e8b9b	#66776c	#706f4a	#518568	#828653	#6a5257	#69443c	#a0afa5	#908686	#6d9b8e	#523f5b	#b7c6bd	#54555b
monet1	25	#726a4f	#638768	#564a5a	#778298	#adb0b9	#677f46	#76894b	#7a8f94	#c1c1ca	#8d929b	#92a1b7	#758381	#797643	#6c555d	#4b3037	#705f78	#7e5e46	#816955	#557e71	#55726b	#698994	#4a4c75	#a9a9b9	#8b7a68	#514f54
photo_joaquin_rosado	25	#9f8550	#aea29d	#352d1f	#76606e	#ffffff	#5a4029	#97936c	#926c47	#552425	#9da5a8	#6a635c	#3f472b	#7d7649	#615132	#202739	#191c0d	#a3a9a1	#948084	#486b56	#5d5672	#b19a98	#86484e	#d0ba41	#8c7196	#30332b
photo_joaquin_rosado	25	#7f65a1	#592b1e	#d6bf4a	#c5c4b3	#2f4823	#c29c9b	#1e1118	#b5827e	#b6a96b	#566150	#a06d6b	#adaca9	#a19e67	#475853	#7b7173	#1f1a36	#37442e	#19317d	#778380	#6e6959	#a3a0b5	#656a35	#673f49	#eff3e9	#c2b347
photo_joaquin_rosado	25	#8e738d	#b97377	#cda94c	#544c54	#ccc1b1	#5d4a28	#5c424b	#dbc44b	#987f73	#8b7d4b	#45704e	#172977	#825445	#5f3025	#946e41	#986e5b	#646829	#545675	#382a2e	#6c7b84	#6f5c55	#af9fa6	#363b3a	#a0a1b1	#b2b16a
photo_joaquin_rosado	25	#c17481	#afa56d	#7b6399	#685e53	#c6d0a7	#582d21	#7c7684	#756b72	#bfb54c	#421b1e	#69393b	#81738a	#ad976d	#63596b	#323918	#7b6f53	#603c46	#eee7e4	#b69696	#2a2636	#96714e	#6c562b	#7e5053	#1d3a79	#926b6b
photo_joaquin_rosado	25	#fff3f7	#8f6262	#69695f	#a1a796	#262f29	#c2c7a6	#a9a091	#2b4a11	#947347	#e4b83e	#544a63	#817d49	#526730	#182d83	#55724d	#202a3d	#200b16	#611f31	#b594a6	#8c696d	#c47b7d	#59494f	#906f53	#595755	#b2a76f
photo_krikit	25	#aec7e9	#647059	#401f1b	#939332	#5676b0	#aead4b	#8189b6	#736218	#654d20	#231b1b	#c1c795	#0a29ae	#a3a01e	#516389	#838985	#7c8324	#2b2266	#6376bc	#866e4e	#222c94	#a1b0b0	#b0d1f1	#879478	#384ed0	#3566a3
