#2b242b
#332e3a
#323b4c
#234524
#703a5a
#4d5170
#1a6c35
#406391
#277c3c
#ba5969
#9e5fb3
#338f6c
#299660
#4790a6
#469a4c
#b4875f
#47a682
#5dbf63
#aecca6
#dbcb77
