#e5c6b2
#675948
#d9b778
#4a473e
#817c2b
#d9d998
#96a363
#60a852
#386c30
#3e4d48
#2684bc
#638cc0
#323f50
#4e5d7a
#2854e2
#4c4c4e
#908f9f
#d03c56
#713942
#c59b9c
