#473a3d
#5e3f3a
#4f4e1b
#824b44
#ad4d32
#6d6f6a
#cd352e
#76699e
#a0686b
#89749d
#9c7e66
#a37b95
#c6716c
#b88655
#b7819d
#b58b3d
#cba787
#caab8f
#b9b9b9
#ddc8a3
