#bda090
#c97836
#b35565
#5e483b
#332726
#2f3140
#3f3d53
#265461
#5e716d
#619080
#7b9693
#939ba1
#2da0cc
#88b3ad
#a1d1cb
#abd1da
#cce0de
#afcca7
#d6e0b6
#c1d82f
