#c72e2e
#8a1a1a
#cc564e
#bd897b
#694d44
#ab8274
#884e36
#b88053
#5b391b
#70613d
#bcbab3
#b3c853
#cddba4
#384744
#61c9b8
#3b706e
#54c6d0
#293946
#9685a6
#9c8497
