#60562c
#7a875f
#b9a36e
#d4e0a4
#a9d4b4
#59bfb3
#71c4c7
#86babf
#c9d6d8
#d398b3
#b373b3
#b1608a
#b66878
#c2274b
#921c30
#692c3a
#2f2e3b
#262c2e
#3d3d3d
#3c7893
