#60534b
#a1826c
#d3963e
#c28c21
#a5a08a
#ccbc66
#cfc26d
#7a764d
#d3c95c
#818149
#919771
#bbd8bb
#569c8c
#638d84
#696996
#3f2e5e
#afacb3
#4d1f2e
#d84351
#913a41
