#748b85
#8aaaa9
#9cb8b8
#b1ab91
#c5b898
#cdc08c
#d1ab7b
#baa69b
#b38d97
#9e3c94
#6e4158
#2b2b2a
#2d4b56
#495b73
#245fb1
#2c6cb0
#556d6d
#28742d
#1cc921
#3fd61a
