#5e6d55
#6f7d3a
#9ac48d
#bfbeb7
#67c2c4
#49929c
#3f718c
#385f6b
#262e3e
#221b21
#433641
#7a5f76
#8f6a6c
#a17b90
#a887a4
#d6638a
#e4a4a2
#cf9d9e
#af8a82
#8f7f80
