#4b5567
#2a3644
#1d3e3c
#399199
#89bd7e
#b1bd97
#c4bc86
#cfc376
#d5a51f
#be8228
#a1784a
#816b4e
#816f4e
#88724a
#807344
#7f7745
#98876f
#d18049
#cb7261
#d642af
