#2e344a
#3f3b37
#75346b
#375160
#995653
#317484
#6b6f5e
#517d3c
#8f6e89
#6c918f
#8c8e6a
#8e8e8e
#d2772e
#df818f
#a7a97a
#cda874
#27ce9c
#a4c421
#d0c228
#d0cc75
