#a8a8a8
#b21d1a
#56463d
#9c836a
#cb9830
#857e66
#90823b
#d6de26
#acb369
#8a9974
#262c28
#25915c
#a5c6b7
#2b9e81
#4e5778
#41415e
#976d96
#8c4e63
#bc95a2
#996272
