#bd8468
#a69477
#b8a986
#daa524
#a1812d
#d9c264
#dbbd42
#747758
#50524b
#8f9e7e
#b4bdab
#7c8f91
#262e30
#b8bdc3
#242c39
#7d8695
#d2d5de
#282834
#464451
#db9be5
