#d92b45
#a62929
#512d2b
#4c3648
#321e3b
#1f1f47
#252961
#294175
#354f60
#424242
#354133
#64603a
#777777
#4a8490
#6ba88c
#d7d595
#aaae8e
#919191
#d4aaae
#d8a49f
