#2d2254
#3d4273
#615a70
#786f4c
#846599
#6666e2
#bd53b2
#7986a1
#2d9b6d
#269b99
#4aa82d
#8e9d88
#bf9351
#a2a2c3
#56c136
#45cca5
#76cc41
#bfbfb2
#d6d396
#ccd6bd
