#543c31
#a87f6b
#d4c6bb
#3e3526
#cca967
#bbb9b5
#e4ca76
#e2c150
#d1b853
#c2c178
#84887b
#a5d1cb
#6ccfcc
#323a3c
#76a0ac
#444b53
#4e5174
#615266
#ae6779
#90505e
