#d6bbb4
#402820
#d6b49b
#8a837d
#916437
#dab78d
#483b2a
#c3ba2f
#6b693c
#d4d39b
#c9c9c7
#b0b1a1
#252821
#2f4368
#2f3fc3
#a09ac8
#cd9fd1
#826871
#794b4d
#ad5456
