#3e3526
#323a3c
#543c31
#444b53
#4e5174
#615266
#90505e
#ae6779
#84887b
#a87f6b
#76a0ac
#cca967
#d1b853
#bbb9b5
#c2c178
#6ccfcc
#e2c150
#a5d1cb
#d4c6bb
#e4ca76
