#393b3a
#344846
#784029
#2d565a
#694b2f
#982e51
#714882
#8a4f80
#577b33
#3c8089
#d8506a
#468da0
#6b979b
#b991b3
#e28ea1
#afbe57
#90ce78
#5ad58a
#2fdea3
#a4d75b
