#646d73
#303b4b
#1a2737
#322f38
#622434
#6b4242
#7d524f
#855067
#b37490
#c46f85
#de5f72
#d980a8
#c7b5c3
#d9d0b4
#bfb899
#cfbd88
#bdc489
#afc1bd
#99d2c7
#34a997
