#543c31
#3e3526
#323a3c
#444b53
#4e5174
#615266
#90505e
#ae6779
#a87f6b
#cca967
#d1b853
#e2c150
#e4ca76
#c2c178
#d4c6bb
#bbb9b5
#a5d1cb
#6ccfcc
#76a0ac
#84887b
