#2b2b2a
#2d4b56
#6e4158
#495b73
#245fb1
#9e3c94
#28742d
#556d6d
#2c6cb0
#748b85
#b38d97
#8aaaa9
#baa69b
#b1ab91
#1cc921
#d1ab7b
#9cb8b8
#c5b898
#3fd61a
#cdc08c
