#d1642e
#9c3433
#694b2f
#616621
#929476
#979b84
#c3dad2
#ccd18c
#d0c57c
#a5c42a
#a1b552
#a1bf8a
#69b585
#447e8c
#6865d0
#2e324a
#8a4f80
#c26598
#b991b3
#de9bc0
