#852b23
#573d4a
#59434b
#272d2e
#454235
#73796b
#7e9153
#9e9340
#a3a349
#a5a242
#a3a33c
#aeb745
#a4a16a
#b3b0a2
#dbbaa2
#d7d6b7
#81dbcf
#6cd7e2
#54b2d1
#4098c7
