#332726
#bda090
#5e483b
#c97836
#c1d82f
#d6e0b6
#afcca7
#619080
#5e716d
#88b3ad
#a1d1cb
#7b9693
#cce0de
#abd1da
#265461
#2da0cc
#939ba1
#2f3140
#3f3d53
#b35565
