#201b40
#3c2c3e
#3d2f38
#4d3e2a
#66472e
#704441
#952322
#9c607d
#db5395
#c7adb3
#a87972
#cb815a
#b59167
#d8cba2
#bdcca7
#79ba98
#42bcad
#41858d
#7281ac
#3a6ba5
