#5e5e5e
#462929
#dc5b3e
#332d2a
#d1912a
#d6cea8
#8f995a
#3f4c38
#83927b
#92b291
#a5b3a6
#71ba9f
#5c706e
#37787d
#3c686e
#2d2949
#2b2333
#4e4952
#827085
#6b364d
