#9a9a9a
#5e4543
#af3421
#cd5032
#d2896e
#a09489
#68b15b
#4fb087
#25413a
#3e9091
#30acb8
#4d7478
#d3dfe2
#baced6
#abc3ce
#303640
#c2b3db
#b77ad2
#978791
#c6c2c4
