#282f27
#513c41
#28483b
#5b4537
#4b4c53
#b52834
#586e58
#6d6e78
#c94b34
#61824d
#8d8594
#d1823d
#989b62
#c8a065
#d6b37d
#c0b4cc
#b8bf71
#97d622
#bad487
#b7e539
