#dd5350
#a16d4f
#cfb59d
#c5a689
#bfa386
#cfb590
#ddc59f
#bdad93
#d3b66e
#59584f
#bdc489
#6b7d38
#c7d5bd
#64a084
#4c856f
#a3a7a6
#54616a
#6a778a
#4f4e4f
#423237
