#807e7d
#83897f
#b3c390
#5b9657
#6b7d38
#766642
#614d1e
#33302c
#4f4e4f
#3b5950
#3b5955
#3b5958
#385354
#3f5b5e
#475989
#49386f
#7d3b5f
#c55b83
#e16482
#d1a3ab
