#80201c
#c48757
#33302d
#dec199
#665426
#d2c954
#97c04f
#5a8057
#3f8c66
#5cccaa
#729e9a
#418d89
#b3d5d6
#cad0d2
#bac8ce
#9fc1d1
#273036
#7773bd
#857785
#b35984
