#b04c34
#784e2a
#806751
#ba7f31
#abac2a
#29b789
#246153
#6d7e85
#94b5d6
#233b5d
#8ea7d2
#7c778c
#774f8d
#b34ac0
#816282
#54324c
#ccb6c2
#743e56
#b87692
#dfdcdd
