#b9b9b9
#cd352e
#c6716c
#824b44
#5e3f3a
#ad4d32
#9c7e66
#cba787
#caab8f
#b88655
#ddc8a3
#b58b3d
#4f4e1b
#6d6f6a
#76699e
#89749d
#a37b95
#b7819d
#473a3d
#a0686b
