#cc796d
#ceb0a6
#a69f99
#ceb493
#e1ce8a
#d1cda7
#50524b
#a0c194
#2da251
#a9c9b4
#5c716a
#86b6be
#262e30
#b8ced6
#83b3c7
#3d4053
#1e1c1f
#774d7a
#c6929f
#b2525d
