#641e2b
#49373f
#54374d
#375144
#504d3c
#c0322e
#4f705d
#d13232
#906a43
#9a628f
#557a8b
#b66878
#bb6d7d
#d6642e
#9c956e
#a5afb5
#afbf75
#d4be7b
#8ed955
#d7e5cc
