#30453e
#69321e
#2f4830
#57433a
#705847
#a63743
#97573b
#c04028
#7a6a51
#6c6d67
#ad546a
#d9343f
#a77f65
#ae878a
#8d95a6
#d88a37
#9cb587
#d1a66b
#b2b7c2
#deb878
