#1c1f45
#7c4c8c
#9d4251
#c0322e
#b85a5a
#c96653
#719199
#c9766e
#b2926b
#b09635
#d2866f
#c5a443
#b8a986
#bca4bd
#db9f83
#82b5c2
#beae8c
#d9aca3
#b1babd
#dec385
