#cf8884
#cab6af
#d68f68
#caa680
#d1ab7b
#6c5836
#dedb3a
#8b9f78
#bee3ca
#77b7aa
#90aaa5
#39bdab
#a5c5d0
#667988
#46647c
#76a1cc
#5675b3
#272766
#4d4250
#b66e6f
