#a54842
#aa3b33
#ad4c43
#d4815d
#554f46
#755725
#c8963f
#b5a77f
#27382f
#41b08c
#73d0d1
#6b7c7d
#1e3b57
#323b4c
#6666e2
#9e5fb3
#c44865
#ba5969
#d04956
#993034
