#b5a77f
#c8963f
#d4815d
#ba5969
#c44865
#d04956
#ad4c43
#a54842
#aa3b33
#993034
#755725
#554f46
#27382f
#323b4c
#1e3b57
#6666e2
#9e5fb3
#6b7c7d
#41b08c
#73d0d1
