#baa69b
#d1ab7b
#c5b898
#cdc08c
#b1ab91
#2b2b2a
#3fd61a
#1cc921
#28742d
#748b85
#8aaaa9
#9cb8b8
#556d6d
#2d4b56
#2c6cb0
#495b73
#245fb1
#9e3c94
#6e4158
#b38d97
