#5f4f4f
#dca2a0
#392423
#cf7e72
#bb9e97
#c7ae98
#cdcac0
#c6bf9b
#9c923e
#9f9d39
#7e8a28
#42bcad
#71b1b3
#6b979b
#698589
#468da0
#692870
#a13a60
#773a4a
#a44950
