#aa66cc
#a6808e
#945a65
#d16b67
#dd8742
#c6ac9f
#b59588
#9b8a82
#8f735a
#6b4c3e
#504645
#60635d
#5e8c72
#78bd9a
#8fbb9b
#8fdd42
#d9d596
#c0b693
#abad8b
#9daba9
