#3a3549
#413e2d
#3a6ba5
#747541
#997748
#857d67
#997fbc
#ba9545
#66aba6
#ac9f7f
#bea35e
#c4a69b
#d2a69d
#aabf33
#3dccb9
#75d17a
#d3bc9d
#a0d936
#92ded2
#cde08b
