#492b4a
#3d3d25
#66254c
#424d3e
#1c5d7d
#5c5c41
#6e5b5d
#795f4f
#7f6280
#bd454f
#58766d
#2d8c7b
#818583
#a68190
#a88a8e
#88aa7e
#aaadb3
#91cad5
#d1d1d1
#dcd1ae
