#2c332d
#223a5c
#764e8c
#736479
#684651
#5c354b
#47272a
#ad4d32
#ad6a62
#d8a497
#ccc2b8
#94b5d8
#bed3c3
#bbb799
#bfc092
#d3c95c
#e1e3a0
#76c483
#818149
#806751
