#1e1c1f
#262e30
#3d4053
#50524b
#774d7a
#5c716a
#b2525d
#2da251
#cc796d
#c6929f
#a69f99
#83b3c7
#86b6be
#ceb0a6
#a0c194
#ceb493
#a9c9b4
#b8ced6
#d1cda7
#e1ce8a
