#e499b8
#b373b3
#8f92b3
#3a6ba5
#333866
#7a2767
#b32d53
#d43535
#be5c46
#864c48
#4c4c4e
#32352b
#3e5559
#6f7951
#41947f
#59bfb3
#96a363
#ccca52
#e0c240
#d1ab7b
