#6c5836
#4d4250
#272766
#46647c
#667988
#5675b3
#76a1cc
#a5c5d0
#90aaa5
#8b9f78
#77b7aa
#39bdab
#bee3ca
#dedb3a
#d1ab7b
#caa680
#cab6af
#d68f68
#cf8884
#b66e6f
