#c94b34
#5b4537
#d1823d
#c8a065
#d6b37d
#989b62
#b8bf71
#b7e539
#bad487
#97d622
#61824d
#282f27
#586e58
#28483b
#4b4c53
#6d6e78
#c0b4cc
#8d8594
#513c41
#b52834
