#2e324a
#694b2f
#9c3433
#616621
#8a4f80
#6865d0
#447e8c
#d1642e
#c26598
#929476
#979b84
#b991b3
#69b585
#a1b552
#de9bc0
#a1bf8a
#a5c42a
#d0c57c
#ccd18c
#c3dad2
