#76699e
#89749d
#a37b95
#b7819d
#a0686b
#c6716c
#cd352e
#ad4d32
#824b44
#5e3f3a
#473a3d
#4f4e1b
#6d6f6a
#9c7e66
#b88655
#b58b3d
#cba787
#caab8f
#ddc8a3
#b9b9b9
