#444444
#b9b9b9
#745538
#c2a07d
#494036
#3f362c
#4e4639
#ceb282
#cc9f4c
#947233
#caa865
#cfac54
#a0a481
#b3bc8d
#40bf2f
#22a83d
#37706c
#227777
#556062
#2b5468
