#2f2b1d
#34394d
#423c3c
#244259
#3f3f4d
#3f4c4d
#29534c
#426d80
#6e6a4c
#ad4d32
#698244
#7198a8
#6da67e
#22b6a6
#29b9d3
#86ba9c
#c4b073
#a1bdc9
#97ce81
#ccc48b
