#2b2a40
#27382f
#612c2c
#313f52
#2c4273
#354f60
#8c2737
#505b39
#1c5ba2
#3a6ba5
#5b6d75
#91657c
#b3598d
#6b7c7d
#d4639a
#999999
#b3b3b3
#71c1e2
#71c9be
#cccccc
