#d9baba
#402727
#c8a69c
#b07a4d
#db8129
#936e2a
#a89776
#cbcac8
#ccbc9b
#998b6c
#5f5941
#827b5d
#dbc54d
#b2ad8d
#6c7230
#848a55
#5da43d
#449420
#aae3ab
#5bb88b
