#3b3b3b
#423636
#cc745c
#e3b798
#d7cec7
#a69989
#997748
#baac87
#404d49
#218988
#32393b
#91bad6
#afb3b6
#282d31
#8ca1b6
#3b3e4a
#797bac
#3b333a
#7c356f
#b5245f
