#cccccc
#b3b3b3
#999999
#612c2c
#505b39
#27382f
#71c9be
#6b7c7d
#71c1e2
#5b6d75
#354f60
#1c5ba2
#3a6ba5
#313f52
#2c4273
#2b2a40
#b3598d
#91657c
#d4639a
#8c2737
