#72a36c
#86c07f
#d6d396
#e3e16d
#d7bd4f
#b39929
#9b8742
#6a655b
#323136
#33408d
#9628c3
#c22989
#b44043
#b25a58
#a96260
#cba077
#e3dfd7
#bfbfb2
#89acc0
#75b7c3
