#d4d4d4
#bebebe
#a7a7a7
#ad4d32
#a35c40
#d3a188
#a6958b
#ab856e
#c0997c
#56574b
#9ac427
#cbe3ac
#cbd7bf
#c1c6c4
#619c8a
#49678d
#ded8da
#964b5a
#5e2f37
#7e3c3d
