#3d3d3d
#b9a36e
#60562c
#d4e0a4
#7a875f
#a9d4b4
#59bfb3
#71c4c7
#86babf
#c9d6d8
#262c2e
#3c7893
#2f2e3b
#b373b3
#b1608a
#d398b3
#c2274b
#692c3a
#b66878
#921c30
