#694b2f
#784029
#982e51
#d8506a
#e28ea1
#b991b3
#8a4f80
#714882
#393b3a
#344846
#2d565a
#3c8089
#468da0
#6b979b
#2fdea3
#5ad58a
#90ce78
#a4d75b
#afbe57
#577b33
